Country(name);City;Long;Lat
Switzerland;Kehrsiten-Bürgenstock;47.0030217;8.382352764
Switzerland;Luzern Bahnhofquai;47.05130456;8.310239615
Switzerland;Alpnachstad;46.9558084;8.278793022
Switzerland;Bauen;46.93527196;8.580444431
Switzerland;Beckenried;46.96716954;8.475420708
Switzerland;Brunnen;46.99333813;8.605265231
Switzerland;Buochs;46.97037338;8.593284573
Switzerland;Ennetbürgen;46.98805492;8.421072169
Switzerland;Flüelen;46.90335986;8.624593536
Switzerland;Greppen;47.05617842;8.426861941
Switzerland;Gersau;46.99076927;8.526074964
Switzerland;Hertenstein;47.0269156;8.403451364
Switzerland;Hermitage;47.04252538;8.349717773
Switzerland;Hergiswil;46.9844814;8.312452022
Switzerland;Isleten-Isenthal;46.91988702;8.595783259
Switzerland;Kastanienbaum;4700800099;8340064191
Switzerland;Kehrsiten Dorf;4700036391;8365740096
Switzerland;Küssnacht;470800431;8438873411
Switzerland;Luzern Schweizerhof;4705363696;8309968418
Switzerland;Meggen;470446818;8379296994
Switzerland;Meggenhorn;4703371988;8354259012
Switzerland;Merlischachen;4706391878;84073894
Switzerland;Rütli;4697036609;8593277455
Switzerland;Seeburg;4704567248;8344705471
Switzerland;Sisikon;4694819612;8619173351
Switzerland;Stansstad;4698065268;8336180873
Switzerland;Tellsplatte;4693411645;8612564537
Switzerland;Treib;4698731648;8585683093
Switzerland;Tribschen;4704204203;8330725777
Switzerland;Verkehrshaus-Lido;4705111551;8334812585
Switzerland;Vitznau;4700937644;848228721
Switzerland;Weggis;4703153029;8433249363
